occurrence_no,reference_no,ref_author,ref_pubyr,paper_title,paper_authors,paper_publication_year,author_institutions,paper_abstract,enrichment_sources,best_match_score
1421706,67420,McCormick and Fortey 1999,1999,The most widely distributed trilobite species: Ordovician <i>Carolinites genacinaca</i>,T. McCormick; R. A. Fortey,1999,Natural History Museum; University of Glasgow,"The distributions of trilobite species were controlled by a combination of habitat preferences and paleogeographic constraints, which tend to limit their extent. The Lower Ordovician trilobite Carolinites genacinaca Ross, 1951, however, had a remarkable range unequaled among polymerid trilobites; it has been recognized on all Ordovician paleocontinents. Its distribution has been explained by an epipelagic mode of life, based on evidence from functional morphology, analogy with modern pelagic crustaceans, and geological occurrence. In such a case, morphological identity throughout its range might be anticipated, if all occurrences can be postulated to be members of a single pandemic population. Rotational superimposition has been used to compare variation within samples drawn from Alberta, Spitsbergen, and Australia with a benchmark population from the western United States. All are morphometrically similar. By any criterion, specimens identical to the benchmark population are found within the Alberta, Spitsbergen and Australia samples, which represent the extremes of the species' geographic range. A lone cranidium from France, previously referred to Carolinites vizcainoi , may be a juvenile of C. genacinaca or C. tasmaniensis ; its differences are consistent with ontogeny. A small number of specimens from Siberia and central China show differences in cranidial proportions from the Utah specimens that may be the result of preservational factors and/or photographic technique, or may represent genuine morphological disparity; this could be clarified if more specimens were to become available. This study suggests that C. genacinaca was ubiquitous in the epipelagic environment in a belt that encircled the planet between paleolatitudes of approximately 30°N and 30°S.",pbdb_ref;openalex,1.000
1421707,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421708,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421709,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421710,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421711,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421712,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421713,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421714,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421715,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421716,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421717,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421718,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421719,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421720,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421721,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421722,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421723,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421724,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421725,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421726,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421727,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421728,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421729,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421730,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421732,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421733,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421734,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421735,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421736,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421737,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421787,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421788,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421789,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421790,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421791,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421792,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421793,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421794,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
